"name";"state";"Women";"American Indian / Alaska Native";"Asian";"Black";"Hispanic";"Native Hawaiian / Pacific Islander";"White";"Two Or More Races";"Unknown";"Non-Resident Foreign";"Total Minority";"total_enrollment";"early_career_pay";"mid_career_pay";"make_world_better_percent";"stem_percent";"type";"degree_length";"room_and_board";"in_state_tuition";"in_state_total";"out_of_state_tuition";"out_of_state_total";"On Campus";"Off Campus"
"New York Theological Seminary";"New York";197;1;23;240;36;0;36;0;0;60;300;396;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Vatterott College at St. Charles (Mo.)";"Missouri";145;2;0;89;0;0;287;4;14;0;95;396;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Restaurant School at Walnut Hill College";"Pennsylvania";216;0;13;76;27;0;242;0;38;0;116;396;NA;NA;NA;NA;"For Profit";"4 Year";7200;13580;20780;13580;20780;NA;NA
"ITT Technical Institute at Tallahassee (Fla.)";"Florida";247;2;1;250;9;1;116;7;9;0;270;395;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Clovis (Calif.)";"California";102;12;19;27;180;0;112;11;34;0;249;395;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Virginia College at Jackson (Miss.)Mis";"Virginia";334;0;2;337;10;0;32;5;9;0;354;395;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"King's College (N.C.)";"North Carolina";282;4;11;138;64;2;151;19;6;0;238;395;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Omaha";"Nebraska";114;2;3;103;31;0;234;6;16;0;145;395;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chamberlain College of Nursing at Arlington (Va.)";"Virginia";332;1;41;178;43;2;104;7;8;10;272;394;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Strongsville (Ohio)";"Ohio";180;1;0;58;18;0;258;3;56;0;80;394;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Kaplan College at Bakersfield (Calif.)";"California";303;1;1;18;287;2;39;0;45;0;309;393;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Everest University -Melbourne Campus (Fla.)";"Florida";301;6;3;132;45;0;184;17;5;0;203;392;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Central Baptist Theological Seminary (Kan.)";"Kansas";208;1;31;46;1;0;60;4;3;245;83;391;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"San Francisco Conservatory of Music";"California";205;0;29;5;21;1;146;27;36;124;83;389;NA;NA;NA;NA;"Private";"4 Year";14510;46110;60620;46110;60620;66900;66900
"Trinity Baptist College";"Florida";150;4;6;84;31;1;246;3;14;0;129;389;NA;NA;NA;NA;"Private";"4 Year";7040;12140;19180;12140;19180;23230;27155
"TESST College of Technology (Beltsville, Md.)";"Maryland";173;1;10;275;79;0;18;0;5;0;365;388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Piedmont Baptist College and Graduate School";"North Carolina";120;0;4;45;12;1;273;19;21;13;81;388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Art Institute of Tucson";"Arizona";177;14;10;17;164;0;127;10;46;0;215;388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fremont College";"California";243;0;23;95;194;6;24;12;33;0;330;387;NA;NA;NA;NA;"For Profit";"2 Year";NA;36400;36400;36400;36400;NA;NA
"Wilberforce University";"Ohio";230;3;0;359;2;0;2;1;14;6;365;387;NA;NA;NA;NA;"Private";"4 Year";7000;13250;20250;13250;20250;23250;22900
"College of the Atlantic";"Maine";272;2;9;3;22;0;264;5;22;59;41;386;NA;NA;NA;NA;"Private";"4 Year";9747;43542;53289;43542;53289;54918;NA
"Fortis Institute at Scranton (Pa.)";"Pennsylvania";346;0;2;53;31;0;295;0;4;0;86;385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Hilliard (Ohio)";"Ohio";175;4;5;72;11;0;268;13;11;0;105;384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Virginia College at Pensacola (Fla.";"Virginia";328;0;3;165;14;1;188;11;2;0;194;384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Nebraska-Nebraska College of Technical Agriculture";"Nebraska";203;0;2;0;8;0;359;9;6;0;19;384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Marlton (N.J.)";"New Jersey";68;3;6;123;49;0;165;20;17;0;201;383;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Kennesaw (Ga.)";"Georgia";121;0;7;178;35;0;144;8;11;0;228;383;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Lake Mary (Fla.)";"Florida";190;0;7;91;70;0;184;14;16;0;182;382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Be'er Yaakov Talmudic Seminary";"New York";0;0;0;0;0;0;380;0;0;2;0;382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18070;28434
"National American University at Overland Park (Kan.)";"Kansas";328;1;9;119;23;0;188;40;2;0;192;382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fortis College at Baton Rouge (La.)";"Louisiana";323;1;1;293;0;0;84;1;2;0;296;382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"MIAT College of Technology";"Michigan";31;1;2;36;19;0;244;13;67;0;71;382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26638
"Pittsburgh Institute of Aeronautics";"Pennsylvania";20;2;6;23;8;4;314;13;12;0;56;382;NA;NA;NA;NA;"Private";"2 Year";NA;15990;15990;15990;15990;NA;40765
"National American University -Zona Rosa (Mo.)";"Missouri";308;3;1;78;19;1;257;23;0;0;125;382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Virginia College at Biloxi (Miss.)Mis";"Virginia";307;0;7;183;18;0;135;4;34;0;212;381;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Westwood College-Chicago Loop";"Illinois";224;1;7;175;44;0;19;21;114;0;248;381;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Herzing University at Kenner (La.)";"Louisiana";322;0;3;227;17;0;97;12;24;1;259;381;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"New York College of Podiatric Medicine";"New York";166;0;116;22;6;1;198;15;7;16;160;381;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Merrillville (Ind.)";"Indiana";251;1;0;161;44;0;143;5;26;0;211;380;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Remington College at Nashville";"Tennessee";359;0;5;124;34;0;205;11;0;1;174;380;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Kaplan College at Palm Springs (Calif.)";"California";291;0;3;18;296;5;56;0;1;0;322;379;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Judson College (Ala.)";"Alabama";366;2;4;62;6;0;285;2;12;5;76;378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Thomas Aquinas College";"California";185;1;4;0;57;0;267;25;10;14;87;378;NA;NA;NA;NA;"Private";"4 Year";8400;25000;33400;25000;33400;36738;43122
"Holy Apostles College and Seminary";"Connecticut";124;0;12;4;33;0;229;4;19;77;53;378;NA;NA;NA;NA;"Private";"4 Year";NA;9670;9670;9670;9670;22220;19320
"American Institute College of Health Professions";"Florida";342;1;15;111;154;0;87;8;2;0;289;378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute-Houston South";"Texas";115;4;3;89;118;0;151;5;8;0;219;378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"National American University at Ellsworth Air Force Base (S.D.)";"South Dakota";107;2;14;42;29;10;240;33;6;0;130;376;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Westwood College-Atlanta Northlake";"Georgia";228;2;6;291;35;0;24;10;8;0;344;376;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Art Insitutes International at Kansas City (Kan.)";"Kansas";203;4;4;50;37;1;229;9;42;0;105;376;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ottawa University -Online";"Kansas";230;23;10;47;23;1;225;12;31;3;116;375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Miller-Motte College at Raleigh (N.C.)";"North Carolina";336;0;1;210;44;0;106;4;10;0;259;375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Eastwick College at Hackensack (N.J.)";"New Jersey";317;1;22;128;163;3;58;0;0;0;317;375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecotech Institute";"Colorado";18;4;4;10;13;0;90;7;247;0;38;375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Carrington College California at Pomona (Calif.)";"California";329;1;16;14;242;4;89;2;6;0;279;374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SAE Institute at Atlanta";"Georgia";43;0;0;315;14;0;40;0;5;0;329;374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Antonelli College at Jackson (Miss.)";"Mississippi";332;0;1;275;1;0;91;0;6;0;277;374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Baptist Bible College";"Missouri";160;6;5;14;16;1;321;9;1;0;51;373;NA;NA;NA;NA;"Private";"4 Year";7500;14150;21650;14150;21650;25500;23500
"Yeshiva of Machzikai Hadas";"New York";0;0;0;0;0;0;373;0;0;0;0;373;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26130;27414
"West Virginia Junior College at Morgantown";"West Virginia";311;1;4;23;3;1;341;0;0;0;32;373;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Madison Media Institute";"Wisconsin";85;3;3;34;18;2;272;8;32;0;68;372;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25533
"Vet Tech Institute";"Pennsylvania";353;0;2;11;8;0;346;5;0;0;26;372;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23158
"Hallmark College";"Texas";92;3;8;23;208;0;113;17;0;0;259;372;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"International Business College at Fort Wayne (Ind.)";"Indiana";279;2;3;6;26;0;321;8;6;0;45;372;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of Pittsburgh at Titusville";"Pennsylvania";237;0;10;61;12;1;270;10;6;1;94;371;NA;NA;NA;NA;"Public";"2 Year";10996;11788;22784;21532;32528;NA;NA
"University of Phoenix at Jersey City (N.J.)";"New Jersey";208;1;7;83;81;1;17;18;151;12;191;371;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Five Branches University Graduate School of Traditional Chinese Medicine";"California";248;2;160;5;14;0;160;0;17;13;181;371;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DeVry University of Minnesota";"Minnesota";163;3;29;55;16;0;233;0;27;7;103;370;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Heritage College at Wichita";"Kansas";310;3;7;39;51;1;247;22;0;0;123;370;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Swartz Creek (Mich.)";"Michigan";98;3;2;86;8;0;257;5;9;0;104;370;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Roger Williams University School of Law";"Rhode Island";180;2;3;18;48;0;267;11;18;3;82;370;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chicago School of Professional Psychology at Washington D.C.District o";"Washington";311;0;23;183;30;2;109;6;12;5;244;370;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brown Mackie College Quad Cities (Iowa)";"Iowa";271;4;1;103;26;0;235;0;0;0;134;369;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Kaplan Career Institute at Nashville (Tenn.)";"Tennessee";314;0;4;148;29;0;166;0;21;1;181;369;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Vermont College of Fine Arts";"Vermont";250;1;5;11;17;1;202;7;120;5;42;369;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brown Mackie College at Findlay (Ohio)";"Ohio";318;1;11;119;18;0;217;0;3;0;149;369;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Art Institute of York-Pennsylvania";"Pennsylvania";214;1;6;53;45;1;251;0;12;0;106;369;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"University of the West";"California";174;1;74;6;66;0;42;7;0;172;154;368;NA;NA;NA;NA;"Private";"4 Year";7764;15440;23204;15440;23204;25914;32940
"Adler Graduate School";"Minnesota";283;4;8;41;8;0;307;0;0;0;61;368;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sentara College of Health Sciences";"Virginia";342;1;34;42;4;4;266;12;4;0;97;367;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Everest University -Lakeland Campus (Fla.)";"Florida";297;1;5;96;80;0;168;14;3;0;196;367;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fortis Institute at Nashville";"Tennessee";238;1;5;140;24;0;183;3;11;0;173;367;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Miami-Jacobs Career College at Columbus";"Ohio";305;2;3;238;11;0;92;12;8;0;266;366;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Sullivan College of Technology and Design";"Kentucky";109;1;6;44;1;2;251;47;13;0;101;365;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"American Academy of Art";"Illinois";215;0;23;36;83;2;205;15;0;1;159;365;NA;NA;NA;NA;"Private";"4 Year";NA;34100;34100;34100;34100;NA;45024
"Garrett-Evangelical Theological Seminary";"Illinois";191;0;20;64;11;0;207;7;8;48;102;365;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"College of Business and Technology-Flagler (Fla.)";"Florida";41;0;0;4;346;0;3;1;1;9;351;364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Miller-Motte Technical College at Macon (Ga.)";"Georgia";299;2;0;304;7;0;41;0;9;0;313;363;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"State University of New York College of Optometry";"New York";264;0;129;10;14;0;172;11;0;27;164;363;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Clary Sage College";"Oklahoma";346;43;4;82;20;0;190;14;9;0;163;362;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Global Health College";"Virginia";315;0;11;114;9;0;7;5;151;64;139;361;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fox College";"Illinois";291;2;12;26;114;0;200;6;0;0;160;360;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24549
"Lincoln Technical Institute at Philadelphia";"Pennsylvania";23;2;21;155;82;1;73;13;13;0;274;360;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"National American University Harold D. Buckingham Graduate School";"Texas";245;7;9;79;21;2;192;36;12;0;154;358;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aultman College of Nursing and Health Sciences";"Ohio";313;3;2;16;2;0;314;10;11;0;33;358;NA;NA;NA;NA;"Private";"2 Year";NA;18510;18510;18510;18510;NA;28700
"Intellitec Medical Institute";"Colorado";263;3;11;57;74;1;193;12;6;0;158;357;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Ft. Myers (Fla.)";"Florida";175;0;7;59;74;0;197;10;10;0;150;357;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"InterCoast Colleges-Orange";"California";218;6;13;26;94;0;89;0;129;0;139;357;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brookline College at Albuquerque";"New Mexico";282;38;3;10;265;1;36;4;0;0;321;357;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Virginia College-Shreveport/Bossier City (La.)L";"Virginia";314;0;3;269;8;0;73;0;4;0;280;357;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brown Mackie College at Boise (Idaho)";"Idaho";258;4;3;13;35;1;297;0;3;0;56;356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bryant & Stratton College at Amherst (N.Y.)";"New York";278;2;5;70;9;1;251;14;3;1;101;356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"South University at Cleveland";"Ohio";304;4;3;260;8;2;69;0;10;0;277;356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Le Cordon Bleu College of Culinary Arts at Seattle (Wash.)";"Washington";179;2;26;56;5;11;169;1;85;0;101;355;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"International Business College at Indianapolis";"Indiana";287;0;1;31;16;1;265;25;14;1;74;354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Advanced Computing Institute";"California";212;0;12;95;10;0;20;9;0;208;126;354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Western State College of Law";"California";187;4;49;26;89;0;176;1;5;3;169;353;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Good Samaritan College of Nursing and Health Science";"Ohio";321;0;6;39;9;0;296;3;0;0;57;353;NA;NA;NA;NA;"Private";"2 Year";NA;15959;15959;15959;15959;NA;31708
"Tribeca Flashpoint Media Arts Academy";"Illinois";77;1;5;31;48;0;210;37;19;2;122;353;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Miller-Motte College at Greenville (N.C.)";"North Carolina";306;2;0;265;17;0;62;3;4;0;287;353;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"National American University at Albuquerque";"New Mexico";257;43;4;17;129;1;123;32;3;0;226;352;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fortis College at Mobile (Ala.)";"Alabama";324;0;5;249;6;1;86;3;2;0;264;352;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lac Courte Oreilles Ojibwa Community College";"Wisconsin";183;258;0;1;9;0;82;2;0;0;270;352;NA;NA;NA;NA;"Public";"2 Year";NA;5850;5850;5850;5850;NA;18690
"ITT Technical Institute at Levittown (Pa.)";"Pennsylvania";83;1;5;89;67;0;167;14;9;0;176;352;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bellin College";"Wisconsin";325;3;3;1;5;1;334;1;3;0;14;351;55800;97600;94;0;"Private";"4 Year";NA;22178;22178;22178;22178;NA;32300
"CollegeAmerica at Colorado Springs";"Colorado";214;5;3;58;54;2;177;15;36;0;137;350;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Stevens-Henager College at Boise (Idaho)";"Idaho";212;4;3;7;71;3;237;2;23;0;90;350;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Franklin W. Olin College of Engineering";"Massachusetts";168;1;51;3;12;0;187;21;37;38;88;350;NA;NA;NA;NA;"Private";"4 Year";16300;53736;70036;53736;70036;NA;NA
"Argosy University at Schaumburg (Ill.)";"Illinois";257;2;20;55;25;5;231;0;11;0;107;349;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Vatterott College at Springfield (Mo.)";"Missouri";175;11;2;14;3;0;276;6;36;0;36;348;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Lexington (Ky.)";"Kentucky";160;0;4;90;6;1;235;8;4;0;109;348;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Miller-Motte Technical College at Chattanooga (Tenn.)";"Tennessee";303;0;2;63;19;0;239;7;18;0;91;348;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chattanooga College";"Tennessee";298;0;0;128;12;0;207;0;0;0;140;347;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Wilmington (Mass.)";"Massachusetts";44;4;21;43;90;0;171;2;16;0;160;347;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Linfield College School of Nursing";"Oregon";278;6;38;9;31;0;227;19;16;1;103;347;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Hebrew University ion College-Jewish Institute of Religion";"New York";205;0;1;2;2;0;278;3;41;19;8;346;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at West Palm Beach (Fla.)";"Florida";128;2;8;153;65;0;90;15;13;0;243;346;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Interactive College of Technology at Chamblee (Ga.)";"Georgia";104;0;60;180;77;0;29;0;0;0;317;346;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Glendale Career College";"California";264;0;45;20;193;1;62;0;25;0;259;346;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ottawa University -Kansas City";"Kansas";236;6;12;28;12;0;267;7;12;2;65;346;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Fort Peck Community College";"Montana";210;297;4;1;4;0;39;0;1;0;306;346;NA;NA;NA;NA;"Public";"2 Year";6075;2520;8595;2520;8595;NA;15100
"Sherman College of Chiropractic";"South Carolina";150;4;6;15;24;1;262;0;22;12;50;346;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Virginia College School of Business and HealthT";"Virginia";273;0;0;159;11;0;152;6;17;0;176;345;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Kaplan College at Brownsville (Tex.)";"Texas";186;0;1;0;333;0;11;0;0;0;334;345;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Crouse Hospital College of Nursing";"New York";306;0;8;13;5;0;285;8;26;0;34;345;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Madison (Ala.)";"Alabama";198;3;5;124;11;1;193;5;3;0;149;345;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lansdale School of Business";"Pennsylvania";276;0;11;46;12;0;275;0;0;0;69;344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29189
"Westwood College-Arlington Ballston";"Virginia";184;4;1;251;40;0;14;12;22;0;308;344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mesivta Torah Vodaath Seminary";"New York";0;0;0;0;0;0;344;0;0;0;0;344;NA;NA;NA;NA;"Private";"4 Year";4500;10000;14500;10000;14500;NA;NA
"Criswell College";"Texas";87;2;17;76;35;0;193;0;19;1;130;343;NA;NA;NA;NA;"Private";"4 Year";NA;13120;13120;13120;13120;NA;24041
"Carrington College at Reno (Nev.)";"Nevada";289;3;13;3;58;9;247;6;4;0;92;343;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"South University at High Point (N.C.)";"North Carolina";272;3;3;205;12;1;112;0;6;0;224;342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"South Coast College";"California";312;2;30;10;129;1;122;19;28;1;191;342;NA;NA;NA;NA;"For Profit";"2 Year";NA;11594;11594;11594;11594;NA;NA
"Everest College at Thornton (Colo.)";"Colorado";276;7;2;13;151;4;135;18;12;0;195;342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Westwood College-Denver North";"Colorado";152;4;8;13;114;0;86;14;103;0;153;342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Remington College-Houston Southeast Campus";"Texas";285;1;5;85;125;1;116;9;0;0;226;342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28535
"ITT Technical Institute at Hanover (Md.)";"Maryland";77;0;19;189;21;0;94;8;11;0;237;342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Keystone Technical Institute";"Pennsylvania";250;0;0;58;8;0;205;10;60;0;76;341;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IBMC College";"Colorado";280;0;2;5;137;2;180;15;0;0;161;341;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27862
"Sanford-Brown Institute at Jacksonville (Fla.)";"Florida";301;2;1;67;4;2;128;0;136;0;76;340;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Everest College at Los Angeles";"California";247;3;13;97;155;4;20;22;26;0;294;340;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brown Mackie College-South Bend";"Indiana";281;1;4;89;25;0;217;0;4;0;119;340;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Remington College-Lafayette Campus";"Louisiana";275;3;6;177;7;0;134;11;2;0;204;340;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29088
"University ited States Sports Academy";"Alabama";91;2;4;58;15;1;206;7;46;0;87;339;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Northwestern College (Ill.)";"Illinois";271;13;8;157;102;1;47;8;1;1;289;338;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"American Institute of Alternative Medicine";"Ohio";270;2;14;204;3;0;104;6;4;0;229;337;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Kaplan Career Institute at Broomall (Pa.)";"Pennsylvania";153;0;4;161;18;0;143;0;10;1;183;337;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ITT Technical Institute at Dearborn (Mich.)";"Michigan";112;1;5;208;11;0;82;12;17;0;237;336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Arizona College at Mesa";"Arizona";291;50;5;29;119;3;123;5;2;0;211;336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Penn Commercial Business/Technical School";"Pennsylvania";233;0;0;40;1;0;287;7;0;0;48;335;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32389
